               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055128,            0.030121,           0.0076137,             0.68452,             0.60486,             0.66439,             0.36565,            0.035893,            0.014333,           0.0022311,            0.070004,           0.0033329,           0.0033329
                   1,            0.044079,              0.0276,           0.0036501,             0.72209,             0.64247,             0.71775,             0.41237,            0.033435,            0.013603,           0.0018773,            0.039344,           0.0060063,           0.0060063
                   2,            0.043393,            0.027365,           0.0034818,             0.73909,             0.65223,             0.73389,             0.42995,            0.032461,            0.013364,           0.0017261,           0.0080242,           0.0080196,           0.0080196
                   3,            0.042336,            0.027102,           0.0032816,             0.74459,             0.66753,             0.74942,             0.44745,            0.031525,            0.013124,           0.0016589,             0.00703,             0.00703,             0.00703
                   4,            0.041231,            0.026553,           0.0030548,             0.75314,             0.67881,             0.76013,             0.45992,            0.030955,            0.012965,           0.0015606,             0.00703,             0.00703,             0.00703
                   5,            0.040022,            0.026037,            0.002879,             0.74949,             0.68654,             0.76437,             0.46674,            0.030606,            0.012855,           0.0015134,             0.00604,             0.00604,             0.00604
                   6,            0.039102,            0.025656,           0.0026553,             0.75538,             0.68448,             0.76767,              0.4716,            0.030381,             0.01279,           0.0014803,             0.00505,             0.00505,             0.00505
                   7,            0.038271,            0.025286,           0.0025072,             0.75666,             0.68666,             0.77011,             0.47566,            0.030186,            0.012739,           0.0014494,             0.00406,             0.00406,             0.00406
                   8,            0.037284,            0.024821,           0.0023334,             0.75667,             0.69134,             0.77239,             0.47845,            0.030031,            0.012692,           0.0014287,             0.00307,             0.00307,             0.00307
                   9,            0.036404,            0.024314,           0.0021852,             0.75873,             0.69387,             0.77443,              0.4818,            0.029874,            0.012644,           0.0013996,             0.00208,             0.00208,             0.00208
