               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12176,            0.035694,            0.029973,           0.0013449,             0.18646,          0.00081633,          0.00021076,             0.11229,            0.025566,            0.028122,            0.070004,           0.0033329,           0.0033329
                   1,             0.11988,            0.036216,             0.02971,           0.0013148,             0.18164,          0.00079677,          0.00019743,             0.11057,             0.02604,            0.027738,            0.039839,           0.0065012,           0.0065012
                   2,             0.11909,            0.036363,            0.029293,           0.0014245,             0.19941,          0.00091431,          0.00022107,              0.1098,            0.026665,            0.027477,           0.0095091,           0.0095046,           0.0095046
                   3,             0.11811,            0.036682,            0.028567,           0.0013252,             0.18426,          0.00083433,          0.00021376,              0.1081,            0.025994,            0.026575,           0.0092575,           0.0092575,           0.0092575
                   4,             0.11703,            0.036951,            0.028106,           0.0013836,             0.19147,          0.00086889,          0.00021713,             0.10746,            0.026335,            0.026234,           0.0092575,           0.0092575,           0.0092575
                   5,             0.11656,            0.037129,            0.027951,           0.0014301,             0.19876,          0.00090576,          0.00022493,             0.10712,            0.026363,            0.026166,             0.00901,             0.00901,             0.00901
                   6,              0.1164,            0.037029,            0.027934,           0.0013646,             0.19275,          0.00086232,          0.00021449,             0.10676,            0.027281,            0.026338,           0.0087625,           0.0087625,           0.0087625
                   7,             0.11561,            0.037269,            0.027738,           0.0014439,             0.20386,           0.0009464,           0.0002358,             0.10642,            0.027204,            0.026236,            0.008515,            0.008515,            0.008515
                   8,             0.11525,            0.037404,            0.027693,           0.0014894,                0.21,          0.00098496,          0.00025005,             0.10622,            0.027112,             0.02614,           0.0082675,           0.0082675,           0.0082675
                   9,             0.11497,            0.037345,            0.027571,           0.0014577,             0.20543,          0.00097712,          0.00024562,             0.10619,            0.026967,            0.025979,             0.00802,             0.00802,             0.00802
                  10,             0.11441,            0.037533,            0.027483,           0.0014626,             0.20721,           0.0009815,          0.00024501,             0.10634,            0.026722,              0.0258,           0.0077725,           0.0077725,           0.0077725
                  11,             0.11407,            0.037644,            0.027436,           0.0014562,              0.2076,          0.00097365,          0.00024605,              0.1064,            0.026579,            0.025622,            0.007525,            0.007525,            0.007525
                  12,              0.1133,            0.037824,            0.027238,           0.0013447,             0.19151,          0.00085208,          0.00021819,             0.10735,            0.026101,            0.025372,           0.0072775,           0.0072775,           0.0072775
                  13,             0.11236,            0.038006,            0.026915,           0.0013407,             0.18965,           0.0008361,          0.00021088,             0.10758,            0.026015,            0.025446,             0.00703,             0.00703,             0.00703
                  14,              0.1117,            0.038209,            0.026733,           0.0013386,             0.18933,          0.00083032,          0.00021164,             0.10732,            0.026092,            0.025428,           0.0067825,           0.0067825,           0.0067825
                  15,             0.11131,            0.038221,            0.026622,           0.0013023,             0.18594,          0.00084825,          0.00021947,             0.10664,            0.026395,            0.025384,            0.006535,            0.006535,            0.006535
