               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076839,             0.03462,             0.01257,             0.41237,             0.41499,              0.3561,             0.12757,            0.051607,            0.016699,           0.0034729,            0.070004,           0.0033329,           0.0033329
                   1,            0.055705,            0.031542,           0.0052597,             0.61595,             0.52528,             0.56011,             0.26105,            0.042331,            0.015547,           0.0023949,            0.039344,           0.0060063,           0.0060063
                   2,             0.05084,            0.030219,           0.0045566,             0.66598,             0.56488,             0.62538,             0.32305,            0.038482,            0.014949,           0.0021653,           0.0080242,           0.0080196,           0.0080196
                   3,            0.047702,            0.029158,           0.0040257,             0.69789,             0.59558,             0.66451,             0.36249,            0.036278,            0.014485,           0.0020122,             0.00703,             0.00703,             0.00703
                   4,            0.045785,            0.028531,           0.0037326,             0.71081,             0.61026,             0.68445,             0.38276,            0.035111,            0.014191,           0.0020167,             0.00703,             0.00703,             0.00703
                   5,            0.044311,            0.028118,           0.0034607,             0.71741,             0.61859,             0.69633,             0.39497,            0.034455,            0.014012,           0.0019562,             0.00604,             0.00604,             0.00604
                   6,            0.043236,            0.027555,           0.0032988,             0.72113,             0.62912,             0.70406,             0.40257,             0.03403,            0.013897,           0.0019292,             0.00505,             0.00505,             0.00505
                   7,            0.042233,            0.027256,           0.0031037,             0.72164,             0.63517,             0.70927,             0.40839,            0.033717,            0.013809,           0.0019125,             0.00406,             0.00406,             0.00406
                   8,            0.041468,            0.027006,           0.0030128,             0.72392,              0.6392,             0.71388,             0.41339,            0.033456,             0.01372,           0.0018901,             0.00307,             0.00307,             0.00307
                   9,            0.040553,             0.02637,           0.0028202,             0.72579,             0.64218,             0.71846,             0.41847,            0.033221,            0.013634,           0.0018647,             0.00208,             0.00208,             0.00208
