               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055373,            0.030252,           0.0076858,             0.69237,             0.60789,             0.67107,             0.36836,            0.036018,            0.014242,            0.002123,            0.070004,           0.0033329,           0.0033329
                   1,            0.044176,            0.027703,           0.0036838,             0.72488,             0.64336,             0.71729,             0.41423,            0.033353,            0.013636,           0.0019051,            0.039344,           0.0060063,           0.0060063
                   2,             0.04342,            0.027505,           0.0035619,             0.73623,             0.65121,             0.73055,             0.42813,            0.032424,              0.0135,            0.001671,           0.0080242,           0.0080196,           0.0080196
                   3,            0.042441,            0.027033,           0.0033049,             0.75347,             0.66447,             0.74857,             0.44595,            0.031611,            0.013183,           0.0016247,             0.00703,             0.00703,             0.00703
                   4,            0.041261,            0.026606,           0.0031115,             0.75033,             0.67413,             0.75543,             0.45487,              0.0311,            0.013059,           0.0015182,             0.00703,             0.00703,             0.00703
                   5,            0.040076,            0.026221,           0.0028727,             0.75602,             0.67711,             0.75998,             0.46231,            0.030714,            0.012965,            0.001451,             0.00604,             0.00604,             0.00604
                   6,            0.039233,            0.025684,           0.0027223,             0.75899,             0.67965,             0.76424,              0.4674,            0.030478,            0.012902,           0.0014285,             0.00505,             0.00505,             0.00505
                   7,            0.038343,            0.025407,           0.0025327,             0.75897,             0.68418,             0.76782,             0.47159,            0.030274,            0.012848,           0.0014134,             0.00406,             0.00406,             0.00406
                   8,            0.037592,            0.025124,           0.0024598,             0.75845,             0.68805,             0.77012,             0.47475,            0.030123,            0.012798,           0.0013953,             0.00307,             0.00307,             0.00307
                   9,            0.036612,            0.024488,           0.0022546,             0.76151,              0.6877,             0.77241,             0.47778,            0.029987,            0.012747,           0.0013825,             0.00208,             0.00208,             0.00208
