               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079131,            0.035167,            0.018129,             0.17586,             0.12933,            0.071613,             0.02572,            0.065125,            0.019012,            0.014489,            0.070004,           0.0033329,           0.0033329
                   1,            0.068414,            0.036357,            0.014911,             0.19325,             0.13561,            0.085654,            0.032308,            0.064403,            0.018861,            0.013662,            0.039839,           0.0065012,           0.0065012
                   2,            0.070644,            0.035388,            0.014594,              0.1993,             0.13372,            0.088849,            0.032951,            0.064236,            0.018794,            0.013438,           0.0095091,           0.0095046,           0.0095046
                   3,            0.072243,            0.034672,            0.014449,             0.19949,             0.13588,            0.089562,            0.033258,             0.06417,            0.018787,            0.013335,           0.0092575,           0.0092575,           0.0092575
                   4,            0.072316,            0.034695,            0.014357,             0.20011,             0.13889,            0.090761,            0.033103,            0.064131,             0.01879,            0.013298,           0.0092575,           0.0092575,           0.0092575
                   5,            0.072108,             0.03484,            0.014325,             0.20049,             0.13812,            0.090715,            0.033184,            0.064077,            0.018791,            0.013275,             0.00901,             0.00901,             0.00901
                   6,            0.071837,            0.034771,            0.014318,             0.20089,             0.13872,            0.090741,            0.033159,            0.064071,            0.018793,            0.013244,           0.0087625,           0.0087625,           0.0087625
                   7,            0.071696,            0.034923,            0.014282,              0.2016,             0.13976,            0.091102,            0.033481,            0.064065,            0.018793,            0.013222,            0.008515,            0.008515,            0.008515
                   8,            0.071458,            0.035122,            0.014293,             0.20096,             0.13951,             0.09106,            0.033484,            0.064058,             0.01879,            0.013217,           0.0082675,           0.0082675,           0.0082675
                   9,            0.071268,             0.03486,            0.014268,             0.20145,             0.13979,            0.091486,            0.033571,            0.064061,            0.018789,             0.01321,             0.00802,             0.00802,             0.00802
                  10,            0.071103,            0.035086,            0.014241,             0.20137,             0.13977,            0.091594,            0.033497,             0.06406,            0.018788,            0.013212,           0.0077725,           0.0077725,           0.0077725
                  11,             0.07094,            0.035135,            0.014268,             0.20142,             0.14044,            0.091718,            0.033987,            0.064059,            0.018787,            0.013204,            0.007525,            0.007525,            0.007525
                  12,            0.070658,            0.035154,            0.014285,             0.20076,             0.14045,            0.091681,            0.033637,            0.064064,            0.018786,            0.013205,           0.0072775,           0.0072775,           0.0072775
                  13,            0.070543,            0.035139,            0.014268,             0.20098,             0.14159,            0.091696,             0.03402,            0.064071,            0.018786,            0.013197,             0.00703,             0.00703,             0.00703
                  14,            0.070347,            0.035282,            0.014234,             0.20009,              0.1415,            0.091687,            0.034068,            0.064068,            0.018786,            0.013192,           0.0067825,           0.0067825,           0.0067825
                  15,            0.070151,            0.035234,            0.014266,             0.20042,             0.14163,            0.091732,            0.034069,            0.064075,            0.018784,            0.013189,            0.006535,            0.006535,            0.006535
                  16,            0.069937,            0.035319,            0.014324,              0.2026,             0.13938,            0.092133,            0.034258,            0.064076,            0.018785,             0.01319,           0.0062875,           0.0062875,           0.0062875
                  17,            0.069769,            0.035449,            0.014298,             0.20252,             0.14008,            0.091943,            0.034174,            0.064079,            0.018784,            0.013188,             0.00604,             0.00604,             0.00604
                  18,            0.069724,            0.035434,            0.014258,             0.20282,             0.14066,            0.091986,            0.034193,            0.064085,            0.018784,            0.013191,           0.0057925,           0.0057925,           0.0057925
                  19,            0.069479,            0.035574,            0.014272,             0.20197,              0.1405,             0.09224,             0.03428,            0.064086,            0.018784,            0.013195,            0.005545,            0.005545,            0.005545
                  20,            0.069246,            0.035614,            0.014275,             0.20174,             0.14105,            0.092106,            0.034253,            0.064094,            0.018782,            0.013191,           0.0052975,           0.0052975,           0.0052975
                  21,            0.069005,            0.035646,            0.014256,             0.20172,             0.14148,             0.09208,            0.034245,            0.064099,            0.018781,            0.013193,             0.00505,             0.00505,             0.00505
                  22,            0.068985,            0.035724,            0.014238,               0.201,             0.14116,            0.091995,            0.034266,            0.064108,            0.018781,            0.013189,           0.0048025,           0.0048025,           0.0048025
                  23,            0.068852,            0.035922,            0.014228,             0.20089,             0.14182,             0.09207,            0.034308,            0.064112,            0.018781,             0.01319,            0.004555,            0.004555,            0.004555
                  24,            0.068651,            0.035812,            0.014242,             0.20088,             0.14218,            0.092136,            0.034329,            0.064113,            0.018781,             0.01319,           0.0043075,           0.0043075,           0.0043075
                  25,            0.068518,            0.035844,            0.014262,             0.20036,             0.14226,            0.092033,            0.034309,            0.064122,            0.018779,            0.013187,             0.00406,             0.00406,             0.00406
                  26,            0.068367,            0.035949,            0.014227,             0.20295,             0.14069,            0.092278,            0.034335,            0.064131,            0.018779,            0.013185,           0.0038125,           0.0038125,           0.0038125
                  27,            0.068215,            0.036014,            0.014275,             0.20301,             0.14108,            0.092089,            0.034305,             0.06414,            0.018778,            0.013185,            0.003565,            0.003565,            0.003565
                  28,            0.068055,             0.03612,             0.01425,              0.2028,              0.1417,            0.092166,            0.034301,            0.064154,            0.018776,             0.01319,           0.0033175,           0.0033175,           0.0033175
                  29,            0.067914,            0.035962,            0.014223,             0.20186,             0.14146,            0.092208,            0.034369,            0.064162,            0.018774,            0.013192,             0.00307,             0.00307,             0.00307
